episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,unresolved_jobs,queued_jobs,started_from_waiting_jobs,waiting_timeout_drops,max_waiting_queue_length,remaining_waiting_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
322,363,1511.6972543455352,1038,1038,0,0,1038,367,38,633,0,1000,961,39,0,199,160,39,17,0,19205.592240364615,1036,334791,334791,200000,200000,0,333792,9.452507678606334,4.749483318517567,4.703024340987666,-148.8799764714186,0.0029370482614565945,0.5969387292861938,1.0653754587799427,1.0709500098780775,148.67825669395418,148.67801881296754,148.67417327409547,15.295774099999107,"{""DC-1"": 346.670210383001, ""DC-2"": 347.99902983185046, ""DC-3"": 299.5142438197489, ""DC-4"": 244.22627595480168, ""DC-5"": 273.28749435613366}"
323,364,1486.9902361503434,1030,1030,0,0,1030,340,30,660,0,1000,957,43,0,189,146,43,19,0,16178.525558203179,1032,335821,335821,200000,200000,0,334824,9.152015449926834,4.510836730862772,4.641178713288418,-148.97090256861014,-0.000981909023686276,0.5947157740592957,1.0728965607839962,1.070864395808804,148.76439913668375,148.76043408416038,148.76229976683624,15.47251540000434,"{""DC-1"": 345.00466007803084, ""DC-2"": 325.1514167072017, ""DC-3"": 294.20760720121797, ""DC-4"": 236.90334620117164, ""DC-5"": 285.72320596272294}"
324,365,1496.310345521913,1016,1016,0,0,1016,359,16,641,0,1000,955,45,0,206,161,45,13,0,15856.905851802296,1016,336837,336837,200000,200000,0,335840,8.724516032483635,4.415146266733568,4.309369767979374,-148.86878689443031,0.0007005493302360236,0.5965843796730042,1.0695312707794933,1.0709083698631272,148.66121368708573,148.66941331878422,148.66727959640383,15.267946300009498,"{""DC-1"": 333.63377453605506, ""DC-2"": 305.71475598832296, ""DC-3"": 314.8266737249657, ""DC-4"": 236.0535259800382, ""DC-5"": 306.0816152925329}"
325,366,1461.2307090093218,1031,1031,0,0,1031,360,31,640,0,1000,951,49,0,212,163,49,23,0,17481.592240364615,1032,337868,337868,200000,200000,0,336872,8.54633069315622,4.308811826876892,4.237518868012022,-149.09267588179242,-0.0019078085245474335,0.5922896862030029,1.0748252071613489,1.0710876118536143,148.89856007302456,148.89910702372705,148.90467555023903,15.023811999999452,"{""DC-1"": 310.3467284473241, ""DC-2"": 263.40818117800706, ""DC-3"": 351.71335738363797, ""DC-4"": 274.82621729749775, ""DC-5"": 260.9362247028562}"
