episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,unresolved_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
5,46,-1924.342750545413,7585,7383,202,0,7383,544,6585,254,202,1000,549,451,0,6223.665420917914,7585,18212,17815,18212,17815,397,17195,0.024677360265828233,0.012733138613611578,0.0119442216405521,-11.618930308003133,0.3917060551336115,0.492953896522522,1.795994992466765,2.156837258876431,10.688150627925825,10.688151286696634,10.68861868449081,156.24341380014084,"{""DC-1"": -417.6053621722809, ""DC-2"": -387.71676637128184, ""DC-3"": -453.64444515837846, ""DC-4"": -341.7426072311217, ""DC-5"": -323.6335696122839}"
6,47,-1612.312241680412,4139,3992,147,0,3992,661,3139,192,147,1000,491,509,0,6260.5525768784855,4139,22351,21807,22351,21807,544,21334,0.06940667547364761,0.03419687617889678,0.03520979928620039,-25.421709789230963,0.06334912765105792,0.648888111114502,2.0503882409351752,2.1571411596861805,24.1710914631171,24.170975100564966,24.171359317260652,85.33025679993443,"{""DC-1"": -329.1517057385343, ""DC-2"": -357.24460312530647, ""DC-3"": -365.37752035271126, ""DC-4"": -277.1777591474375, ""DC-5"": -283.3606533163964}"
7,48,-1491.0313470093092,3201,3090,111,0,3090,678,2201,211,111,1000,488,512,0,6191.668939287876,3201,25552,24897,25552,24897,655,24535,0.1547652814387158,0.07622472209735462,0.07854055920810726,-37.78091182488272,0.0044099879345945855,0.687225341796875,2.146571928096987,2.1574097276292568,36.339308000139724,36.33885812863675,36.33890687417552,73.77621469995938,"{""DC-1"": -308.6383317890198, ""DC-2"": -324.7854828853286, ""DC-3"": -360.2061454455021, ""DC-4"": -251.61576862817293, ""DC-5"": -245.78561826126912}"
8,49,-1480.2293403040878,3291,3172,119,0,3172,684,2291,197,119,1000,499,501,0,6313.242576878485,3291,28843,28069,28843,28069,774,27826,0.3033635567707318,0.14916755122578876,0.15419600475483283,-48.384985287114866,0.0002716710855177624,0.6965155005455017,2.156567920489501,2.157292672835089,46.932431463556284,46.93310295111935,46.93183107123988,75.02439370006323,"{""DC-1"": -312.7685907422494, ""DC-2"": -299.5524078099876, ""DC-3"": -328.5180526636878, ""DC-4"": -260.55459561707636, ""DC-5"": -278.8356934710689}"
9,50,-1466.4761449542543,3084,2983,101,0,2983,713,2084,186,101,1000,483,517,0,6049.735420917914,3084,31927,31052,31927,31052,875,30910,0.5556541725500317,0.277536561028928,0.2781176112215343,-57.36072293886415,0.00022062497105070146,0.7024822235107422,2.1567429992166165,2.1573365882676865,55.906800386352145,55.90675305763571,55.90532669606685,69.3770604999736,"{""DC-1"": -276.4320077914249, ""DC-2"": -326.8646699735512, ""DC-3"": -341.4849711459207, ""DC-4"": -297.2132285104719, ""DC-5"": -224.48126753287545}"
10,51,-1552.8358089247997,3542,3426,116,0,3426,680,2542,204,116,1000,482,518,0,6296.462576878485,3542,35469,34478,35469,34478,991,34452,0.7816825462584103,0.39774840133278333,0.3839341468839811,-65.15622603698075,0.0002809542110335397,0.7131056785583496,2.156758320324842,2.15755203098715,63.69607707109241,63.69572911189815,63.6927823993461,78.53924289997667,"{""DC-1"": -335.60029069110095, ""DC-2"": -327.7548025056438, ""DC-3"": -344.6967193432734, ""DC-4"": -272.8823087581128, ""DC-5"": -271.9016876266495}"
11,52,-1438.1425707523817,3132,3042,90,0,3042,714,2132,196,90,1000,501,499,0,6266.622576878485,3132,38601,37520,38601,37520,1081,37584,0.9232458834171219,0.4697656045604787,0.4534802768203414,-71.8925048735559,3.0495687779280003e-05,0.7143268585205078,2.157260522912441,2.1573261572178906,70.42744473814203,70.42786270326734,70.42430484766857,72.41541969985701,"{""DC-1"": -299.5967801638537, ""DC-2"": -283.1932312370287, ""DC-3"": -327.5490297519391, ""DC-4"": -256.3639304544358, ""DC-5"": -271.43959914511214}"
12,53,-1525.9976219288765,3394,3272,122,0,3272,672,2394,206,122,1000,491,509,0,6169.122576878485,3394,41995,40792,41995,40792,1203,40978,1.012847433928082,0.5268526141930747,0.48599481987440385,-77.54643278959293,-2.3513734950013097e-05,0.7134325504302979,2.1574410633543484,2.1573465761888286,76.08103250965485,76.08122038967693,76.07694822546307,75.6838539999444,"{""DC-1"": -332.7055017638465, ""DC-2"": -300.92799159322806, ""DC-3"": -324.1885512819664, ""DC-4"": -271.2688121475258, ""DC-5"": -296.9067651422937}"
13,54,-1552.6783851846756,3303,3191,112,0,3191,724,2303,164,112,1000,457,543,0,6092.562079818538,3303,45298,43983,45298,43983,1315,44281,0.9812836056626496,0.5241468743937975,0.45713673400050614,-82.42618314562297,0.00011316172252499388,0.7167816162109375,2.157040028076911,2.157355743287514,80.9663115387933,80.96519138522123,80.96228718447244,72.38507619989105,"{""DC-1"": -343.9448613662998, ""DC-2"": -348.8453029189621, ""DC-3"": -264.58531658914524, ""DC-4"": -265.57626729234676, ""DC-5"": -329.72663701790856}"
14,55,-1474.6160449215713,3187,3083,104,0,3083,701,2187,195,104,1000,495,505,0,6491.862576878485,3187,48485,47066,48485,47066,1419,47468,1.0237822827871668,0.58255542920751,0.4412268560624044,-86.43561691844354,0.0001583447929857907,0.7231108546257019,2.1567825067368727,2.1572544428110496,84.97560966834028,84.97331126476105,84.97160466711537,67.3867061000783,"{""DC-1"": -288.3721178430203, ""DC-2"": -327.7190407856555, ""DC-3"": -308.48159624958976, ""DC-4"": -292.59268847538357, ""DC-5"": -257.45060156790623}"
15,56,-1521.3846254307327,3200,3093,107,0,3093,707,2200,186,107,1000,467,533,0,6605.492576878485,3200,51685,50159,51685,50159,1526,50668,0.9517353161936626,0.5151157783321105,0.43661954092560334,-89.86735124349595,0.0002101126014485999,0.7305388450622559,2.1566300906986,2.1572691191732885,88.39645399808883,88.39446399688721,88.39296984672546,67.28562940005213,"{""DC-1"": -285.240733607042, ""DC-2"": -311.6566644007677, ""DC-3"": -364.5015266679886, ""DC-4"": -249.32659649351854, ""DC-5"": -310.65910426140164}"
16,57,-1462.4388085965534,3169,3067,102,0,3067,692,2169,206,102,1000,496,504,0,6167.412079818538,3169,54854,53226,54854,53226,1628,53837,0.8358037247242857,0.4568328784115121,0.37897084973594974,-92.60176886440865,-0.00023359256410006163,0.7223700284957886,2.1580471514752704,2.1572789349139168,91.1361951867125,91.13668117842188,91.13518419684051,66.75930630019866,"{""DC-1"": -307.22855602794266, ""DC-2"": -321.801584955796, ""DC-3"": -310.7596525305557, ""DC-4"": -239.8052115487029, ""DC-5"": -282.84380353354345}"
17,58,-1492.501297766396,3223,3135,88,0,3135,696,2223,216,88,1000,464,536,0,6043.962079818538,3223,58077,56361,58077,56361,1716,57060,1.1001147549972747,0.5704753580779124,0.5296394025876291,-94.8079080750326,-2.089228560410329e-05,0.721297562122345,2.1573923626857407,2.1572993483707616,93.34777600995288,93.3487491944988,93.34578407280496,69.93952630017884,"{""DC-1"": -288.7595379097666, ""DC-2"": -384.4263922397143, ""DC-3"": -301.41899186401486, ""DC-4"": -232.56753030872477, ""DC-5"": -285.32884544415987}"
18,59,-1482.4150455466024,3177,3068,109,0,3068,696,2177,195,109,1000,501,499,0,6299.162576878485,3177,61254,59429,61254,59429,1825,60237,1.409483088368622,0.7139267806605156,0.6955563018381652,-96.91138837920595,-0.00014849019126640032,0.7158514857292175,2.1575712823702697,2.1570968142387286,95.45755874446476,95.456952777943,95.45152878993932,71.29627049993724,"{""DC-1"": -293.8395651651382, ""DC-2"": -280.4261677237171, ""DC-3"": -326.1719015202934, ""DC-4"": -312.73844528790937, ""DC-5"": -269.23896584953246}"
19,60,-1491.8778954923066,3348,3243,105,0,3243,706,2348,189,105,1000,495,505,0,6266.522576878486,3348,64602,62672,64602,62672,1930,63585,1.28226450213822,0.6425163174424156,0.6397481904061357,-98.5127097942211,-5.082133151650631e-05,0.7140860557556152,2.1576042256474923,2.157423923519777,97.07696595414137,97.07643760945493,97.07400561917213,74.55334459990263,"{""DC-1"": -303.2822053563234, ""DC-2"": -306.3866512762365, ""DC-3"": -326.7491565946387, ""DC-4"": -290.1670238218478, ""DC-5"": -265.2928584432415}"
20,61,-1525.5182334935896,3363,3242,121,0,3242,682,2363,197,121,1000,488,512,0,5997.275420917914,3363,67965,65914,67965,65914,2051,66948,1.3365221980105118,0.6728275719096254,0.6636946293731159,-99.76468292063912,4.594661546989455e-05,0.7144477963447571,2.1573291455143235,2.1574385200197628,98.33164949215774,98.33169894823885,98.32768452553887,73.9635135999415,"{""DC-1"": -354.266185779508, ""DC-2"": -294.99140269293343, ""DC-3"": -311.4844014246769, ""DC-4"": -285.8477383259922, ""DC-5"": -278.9285052704658}"
21,62,-1518.5768392914022,3307,3198,109,0,3198,687,2307,204,109,1000,480,520,0,6276.3025768784855,3307,71272,69112,71272,69112,2160,70255,1.4748743729339757,0.7478488649680675,0.7270255039037986,-100.74340018153299,-4.0328698147931465e-05,0.7132424116134644,2.1574991160301344,2.1573510530458537,99.31777858359236,99.31630385415879,99.31416273506379,74.67774609988555,"{""DC-1"": -296.3009068862044, ""DC-2"": -352.1391559775928, ""DC-3"": -354.4678152203419, ""DC-4"": -251.0112083424488, ""DC-5"": -264.65775286479743}"
22,63,-1524.2869717996946,3102,2989,113,0,2989,711,2102,176,113,1000,468,532,0,5953.555420917914,3102,74374,72101,74374,72101,2273,73357,1.4975754078225425,0.7597045764365479,0.7378708351473129,-101.57519386876866,-6.040585034917638e-05,0.7101683616638184,2.1578066525806694,2.157603836151802,100.15043616033537,100.15081539682846,100.14632245819466,70.32775630010292,"{""DC-1"": -353.12958678211254, ""DC-2"": -309.86175296542734, ""DC-3"": -343.93321633275684, ""DC-4"": -265.12242188643387, ""DC-5"": -252.23999383294938}"
23,64,-1486.4769566489451,3060,2952,108,0,2952,718,2060,174,108,1000,480,520,0,6272.8425768784855,3060,77434,75053,77434,75053,2381,76417,2.0513499217826165,1.0217516269023512,1.02959829854712,-102.1457509433522,0.00019565542887445855,0.7162935137748718,2.1570743460281223,2.15763171661913,100.70926168853161,100.71047827028761,100.70357074862213,69.90544680017047,"{""DC-1"": -356.3125755136466, ""DC-2"": -300.37589835721474, ""DC-3"": -346.6808863758324, ""DC-4"": -214.937067220681, ""DC-5"": -268.17052918155537}"
24,65,-1571.1052888748252,3638,3518,120,0,3518,681,2638,199,120,1000,492,508,0,6062.2420798185385,3638,81072,78571,81072,78571,2501,80055,1.755374429938949,0.8710825284876424,0.8842919036569898,-102.54225689896913,-0.00015553278100965216,0.7098671197891235,2.1580065896446854,2.157519358996181,101.1259271958295,101.12584837063648,101.12048937318875,84.20271710003726,"{""DC-1"": -320.55891464329335, ""DC-2"": -348.3610045391046, ""DC-3"": -315.3261630661324, ""DC-4"": -284.5942980959825, ""DC-5"": -302.26490853029946}"
25,66,-1523.622540705866,3274,3163,111,0,3163,702,2274,187,111,1000,466,534,0,6065.405351571024,3274,84346,81734,84346,81734,2612,83329,1.9287123128808192,0.9660598413817353,0.9626524764964802,-102.9351876176707,0.00019657064558459256,0.7160351872444153,2.1570924274354866,2.1576496498862925,101.5131277807908,101.51261363556709,101.50634609961116,75.7214736000169,"{""DC-1"": -315.1753339055014, ""DC-2"": -355.4444209695345, ""DC-3"": -334.67644654137695, ""DC-4"": -265.7441835516871, ""DC-5"": -252.58215573774544}"
26,67,-1483.7084965230533,3143,3030,113,0,3030,669,2143,218,113,1000,495,505,0,6162.012079818538,3143,87489,84764,87489,84764,2725,86472,1.4898234191135808,0.740419358320859,0.7494040635543912,-103.25764096849025,-0.00023063747184881494,0.7078951001167297,2.1584312256604594,2.15771462133725,101.84772757015295,101.8471744159889,101.84246208149652,68.8972868998535,"{""DC-1"": -305.4868355058238, ""DC-2"": -286.2272340217207, ""DC-3"": -343.6777522120551, ""DC-4"": -302.04319508974953, ""DC-5"": -246.27347969369401}"
27,68,-1480.7686116673967,3172,3060,112,0,3060,708,2172,180,112,1000,501,499,0,6034.755351571024,3172,90661,87824,90661,87824,2837,89644,1.7993061987431849,0.8936138444428636,0.9056923453723084,-103.41816394175737,9.921540342020881e-05,0.7114489674568176,2.157455761450687,2.1577140941445494,102.00459897593322,102.00333331181453,101.99893410719959,68.91987910005264,"{""DC-1"": -316.933436412149, ""DC-2"": -291.5129705074572, ""DC-3"": -310.9504434649912, ""DC-4"": -275.02823655840496, ""DC-5"": -286.34352472438235}"
28,69,-1541.3910924875863,3358,3260,98,0,3260,713,2358,189,98,1000,457,543,0,6046.695351571025,3358,94019,91084,94019,91084,2935,93002,1.8117606646473952,0.9126173933416587,0.8991432717628001,-103.48463309528289,0.00010680902408755718,0.7147374749183655,2.1575649403758956,2.1578551515217974,102.07033634924193,102.0712026831222,102.06535380478769,79.46259639994241,"{""DC-1"": -327.2505378745796, ""DC-2"": -337.242246234282, ""DC-3"": -364.34368491810983, ""DC-4"": -257.756491084209, ""DC-5"": -254.79813237638683}"
29,70,-1495.5950331955032,3366,3268,98,0,3268,712,2366,190,98,1000,491,509,0,6287.772576878486,3366,97385,94352,97385,94352,3033,96368,1.7571759405797673,0.8928031176328659,0.8643728236065191,-103.585208382836,0.00011393184050195753,0.7188995480537415,2.157615780405395,2.1579460270406234,102.17113777518769,102.17208896303772,102.165976612184,81.20493509992957,"{""DC-1"": -341.82310935618676, ""DC-2"": -316.2938854237466, ""DC-3"": -300.80522332865365, ""DC-4"": -261.94863402719454, ""DC-5"": -274.7241810597093}"
30,71,-1466.8559076281974,3155,3052,103,0,3052,685,2155,212,103,1000,491,509,0,6090.985351571024,3155,100540,97404,100540,97404,3136,99523,1.4251967049060645,0.7200856497945196,0.7051110548187172,-103.66537283097885,-0.00035249761349289853,0.7072959542274475,2.1590531869093326,2.1579814582921433,102.25398861844263,102.25378879601529,102.24882803310872,74.0795533999335,"{""DC-1"": -305.83781231529986, ""DC-2"": -304.51793627505657, ""DC-3"": -281.5823197221361, ""DC-4"": -295.37326668567107, ""DC-5"": -279.54457263002456}"
31,72,-1520.3674607849273,3418,3300,118,0,3300,677,2418,205,118,1000,486,514,0,6025.932079818538,3418,103958,100704,103958,100704,3254,102941,1.9156434143004604,0.9675369629120882,0.9481064493655113,-103.59410987394186,0.0002065336408631439,0.7128890752792358,2.157153763221397,2.1577172112646266,102.19357909843752,102.19226966398092,102.18764433796605,83.16458879993297,"{""DC-1"": -314.070868930286, ""DC-2"": -356.2900919907037, ""DC-3"": -378.27680150375375, ""DC-4"": -234.93201605268993, ""DC-5"": -236.7976823074832}"
32,73,-1483.6152461117392,3297,3190,107,0,3190,699,2297,194,107,1000,493,507,0,6170.945351571024,3297,107255,103894,107255,103894,3361,106238,1.8147842358116457,0.9102684817857948,0.9045157517457066,-103.3404971288485,1.9129128094007223e-05,0.7131057977676392,2.15790762653993,2.1579376360413374,101.94378442044037,101.94350304226099,101.93859883182006,74.81806769990362,"{""DC-1"": -297.6009683867251, ""DC-2"": -344.09356352342473, ""DC-3"": -322.6745062322398, ""DC-4"": -239.0943883749395, ""DC-5"": -280.1518195943924}"
33,74,-1482.012320553368,3334,3219,115,0,3219,690,2334,195,115,1000,498,502,0,6290.792576878485,3334,110589,107113,110589,107113,3476,109572,2.1237195366663926,1.0599277336787305,1.0637918022122115,-103.20597295183298,1.614085641134688e-05,0.7133609652519226,2.15805866279213,2.158079544798514,101.80746581015218,101.80784491600215,101.80117698536709,73.75315949996002,"{""DC-1"": -310.61545526108983, ""DC-2"": -281.42493885219716, ""DC-3"": -351.88423997306046, ""DC-4"": -260.96341466938674, ""DC-5"": -277.1242717976257}"
34,75,-1505.204006424081,3179,3070,109,0,3070,696,2179,195,109,1000,477,523,0,6239.222576878486,3179,113768,110183,113768,110183,3585,112751,1.5970110446964656,0.7844140849123964,0.8125969579231818,-103.16210382154956,-8.730601580355337e-05,0.710186779499054,2.15812625394523,2.1578354462020313,101.76280221762092,101.76332991300944,101.75912090396311,67.44687719992362,"{""DC-1"": -338.9351949054849, ""DC-2"": -323.1446886106907, ""DC-3"": -325.10850388338855, ""DC-4"": -277.0201849877191, ""DC-5"": -240.99543403678172}"
