episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,unresolved_jobs,queued_jobs,started_from_waiting_jobs,waiting_timeout_drops,max_waiting_queue_length,remaining_waiting_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
1,42,-1825.5233285880627,1417,1417,0,1417,0,894,417,106,0,1000,472,528,0,690,163,527,29,0,15162.875990386214,0,1417,1417,1417,1158,259,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,2.626742899999954,"{""DC-1"": -350.5663481072314, ""DC-2"": -293.1292567605697, ""DC-3"": -348.50236285398523, ""DC-4"": -370.12085577669615, ""DC-5"": -463.2045050895825}"
2,43,-1974.3854607320866,1364,1364,0,1364,0,896,364,104,0,1000,441,559,0,709,150,559,27,0,14109.171329116363,0,2781,2781,2781,2304,477,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,2.4977191999787465,"{""DC-1"": -363.3610387488016, ""DC-2"": -374.6989314627531, ""DC-3"": -297.51814509434394, ""DC-4"": -370.8722532537875, ""DC-5"": -567.9350921724014}"
3,44,-2001.6509353969293,1393,1393,0,1393,0,892,393,108,0,1000,441,559,0,733,174,559,25,0,13102.866539369203,0,4174,4174,4174,3452,722,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,2.5196973000420257,"{""DC-1"": -346.5846067023818, ""DC-2"": -474.4494336044244, ""DC-3"": -292.53085566070246, ""DC-4"": -406.308905469226, ""DC-5"": -481.7771339601958}"
4,45,-715.5281742049641,1287,1287,0,826,461,624,287,376,0,1000,647,353,0,467,116,351,23,0,12750.87737235395,464,5461,5461,5461,4555,906,464,7.253940142434219,3.611750316003273,3.642189823347947,-0.6727027159388947,-1.2647241702752894,0.09939098358154297,1.0962249012985106,0.5364571799492014,-0.9101339644346432,-0.9087777442462476,-0.9308065546451715,8.356252200028393,"{""DC-1"": -50.39990363590474, ""DC-2"": -170.71629766511467, ""DC-3"": -70.45391132222272, ""DC-4"": -251.42742810755502, ""DC-5"": -172.530633474167}"
