episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,sla_satisfied_jobs,sla_violated_completed_jobs,sla_satisfaction_rate,sla_violation_rate,mean_sla_violation_degree,total_completion_time,avg_completion_time,unresolved_jobs,queued_jobs,started_from_waiting_jobs,waiting_timeout_drops,max_waiting_queue_length,remaining_waiting_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
1,42,-1850.194757846864,1418,1418,0,1418,0,898,418,102,0,1000,440,560,386,54,0.386,0.614,0.5849462820680317,840233.9498678569,1909.6226133360385,0,704,144,560,23,0,12203.812335718776,0,1418,1418,1418,1418,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,3.2981183999800123,"{""DC-1"": -287.5102026205547, ""DC-2"": -277.91789951463795, ""DC-3"": -380.256288347985, ""DC-4"": -405.70342287176527, ""DC-5"": -498.80694449192225}"
2,43,-1939.9827151707022,1397,1397,0,1397,0,898,397,102,0,1000,423,577,370,53,0.37,0.63,0.6022083321363394,847721.2385485113,2004.069121864093,0,722,145,577,20,0,11682.145026602955,0,2815,2815,2815,2815,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,3.232157399994321,"{""DC-1"": -264.9486828512412, ""DC-2"": -395.6265895864967, ""DC-3"": -372.3682158540962, ""DC-4"": -434.9042506354473, ""DC-5"": -472.1349762434227}"
3,44,-1920.279820783569,1389,1389,0,1389,0,898,389,102,0,1000,424,576,378,46,0.378,0.622,0.5994784644076843,816068.7622103201,1924.6904769111322,0,717,141,576,23,0,12340.390330550814,0,4204,4204,4204,4204,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,3.2756394000025466,"{""DC-1"": -303.0323338551862, ""DC-2"": -418.47742765211325, ""DC-3"": -303.23880402001606, ""DC-4"": -350.8439180088316, ""DC-5"": -544.6873372474205}"
4,45,-993.823782044357,1294,1294,0,796,498,737,294,263,0,1000,570,430,516,54,0.516,0.484,0.4551727015005182,900232.4458797676,1579.3551682101188,0,543,113,430,23,0,11647.952842930963,250,5498,5498,5498,5498,0,250,8.2150745677948,4.1061616725921635,4.108912890434265,-0.3652599917948246,-3.043332287207246,0.09910218417644501,1.8710101110935211,0.5318823962211608,-0.8173447032126715,-0.8154271681568352,-0.8482599660158158,7.419303699978627,"{""DC-1"": -67.05889198733989, ""DC-2"": -148.2852959379473, ""DC-3"": -133.47425873158286, ""DC-4"": -277.04465397617236, ""DC-5"": -367.9606814113165}"
5,46,1418.0512772006439,1015,1015,0,0,1015,235,15,765,0,1000,947,53,918,29,0.918,0.082,0.07045013490177723,1012474.4269293575,1069.1387823963648,0,88,35,53,9,0,9544.618971955344,508,6513,6513,6513,6513,0,758,5.986019980250381,2.9976565697061734,2.9883634002189936,-3.5135530777803554,0.6254634672966529,0.09970013052225113,0.2611392093455698,0.5320286035068392,0.9435732892831773,0.9450478685752115,0.960313521923248,8.646798399975523,"{""DC-1"": 338.22070197427627, ""DC-2"": 234.54863786620402, ""DC-3"": 276.03005899153413, ""DC-4"": 317.5769788478097, ""DC-5"": 251.67489952082542}"
6,47,1203.922454188077,1003,1003,0,0,1003,251,3,749,0,1000,913,87,877,36,0.877,0.123,0.10809617539845753,1012696.3377850434,1109.1964269277585,0,142,55,87,21,0,12471.045549490356,502,7516,7516,7516,7516,0,1260,4.589462918589315,2.3045111540779173,2.284951762374179,-6.6839495731065,0.43364085004742875,0.10033845156431198,0.34341731020416394,0.532247467819913,4.391362571621321,4.391312037806112,4.400820869848547,8.348563199979253,"{""DC-1"": 301.2270185810668, ""DC-2"": 252.8257672483652, ""DC-3"": 202.1840961912076, ""DC-4"": 198.3985350476947, ""DC-5"": 249.28703711974566}"
