episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,total_jobs,completed_jobs,dropped_jobs,sla_satisfied_jobs,sla_violated_completed_jobs,sla_satisfaction_rate,sla_violation_rate,mean_sla_violation_degree,total_completion_time,avg_completion_time,unresolved_jobs,queued_jobs,started_from_waiting_jobs,waiting_timeout_drops,max_waiting_queue_length,remaining_waiting_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,per_agent_returns
1,42,-1850.194757846864,1418,1418,0,1418,0,898,418,102,0,1000,440,560,386,54,0.386,0.614,0.5849462820680317,840233.9498678569,1909.6226133360385,0,704,144,560,23,0,12203.812335718776,0,1418,1418,1418,1418,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,3.352925199957099,"{""DC-1"": -287.5102026205547, ""DC-2"": -277.91789951463795, ""DC-3"": -380.256288347985, ""DC-4"": -405.70342287176527, ""DC-5"": -498.80694449192225}"
2,43,-1939.9827151707022,1397,1397,0,1397,0,898,397,102,0,1000,423,577,370,53,0.37,0.63,0.6022083321363394,847721.2385485113,2004.069121864093,0,722,145,577,20,0,11682.145026602955,0,2815,2815,2815,2815,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,2.9110060000093654,"{""DC-1"": -264.9486828512412, ""DC-2"": -395.6265895864967, ""DC-3"": -372.3682158540962, ""DC-4"": -434.9042506354473, ""DC-5"": -472.1349762434227}"
3,44,-1920.279820783569,1389,1389,0,1389,0,898,389,102,0,1000,424,576,378,46,0.378,0.622,0.5994784644076843,816068.7622103201,1924.6904769111322,0,717,141,576,23,0,12340.390330550814,0,4204,4204,4204,4204,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,2.818454099993687,"{""DC-1"": -303.0323338551862, ""DC-2"": -418.47742765211325, ""DC-3"": -303.23880402001606, ""DC-4"": -350.8439180088316, ""DC-5"": -544.6873372474205}"
4,45,-993.823782044357,1294,1294,0,796,498,737,294,263,0,1000,570,430,516,54,0.516,0.484,0.4551727015005182,900232.4458797676,1579.3551682101188,0,543,113,430,23,0,11647.952842930963,250,5498,5498,5498,5498,0,250,8.2150745677948,4.1061616725921635,4.108912890434265,-0.3652599917948246,-3.043332287207246,0.09910218417644501,1.8710101110935211,0.5318823962211608,-0.8173447032126715,-0.8154271681568352,-0.8482599660158158,6.6531246999511495,"{""DC-1"": -67.05889198733989, ""DC-2"": -148.2852959379473, ""DC-3"": -133.47425873158286, ""DC-4"": -277.04465397617236, ""DC-5"": -367.9606814113165}"
5,46,1418.0512772006439,1015,1015,0,0,1015,235,15,765,0,1000,947,53,918,29,0.918,0.082,0.07045013490177723,1012474.4269293575,1069.1387823963648,0,88,35,53,9,0,9544.618971955344,508,6513,6513,6513,6513,0,758,5.986019980250381,2.9976565697061734,2.9883634002189936,-3.5135530777803554,0.6254634672966529,0.09970013052225113,0.2611392093455698,0.5320286035068392,0.9435732892831773,0.9450478685752115,0.960313521923248,8.938838500005659,"{""DC-1"": 338.22070197427627, ""DC-2"": 234.54863786620402, ""DC-3"": 276.03005899153413, ""DC-4"": 317.5769788478097, ""DC-5"": 251.67489952082542}"
6,47,1203.922454188077,1003,1003,0,0,1003,251,3,749,0,1000,913,87,877,36,0.877,0.123,0.10809617539845753,1012696.3377850434,1109.1964269277585,0,142,55,87,21,0,12471.045549490356,502,7516,7516,7516,7516,0,1260,4.589462918589315,2.3045111540779173,2.284951762374179,-6.6839495731065,0.43364085004742875,0.10033845156431198,0.34341731020416394,0.532247467819913,4.391362571621321,4.391312037806112,4.400820869848547,9.063242200005334,"{""DC-1"": 301.2270185810668, ""DC-2"": 252.8257672483652, ""DC-3"": 202.1840961912076, ""DC-4"": 198.3985350476947, ""DC-5"": 249.28703711974566}"
7,48,792.5235363313124,1001,1001,0,0,1001,289,1,711,0,1000,849,151,807,42,0.807,0.193,0.1727465048488312,991074.8444254667,1167.3437507956028,0,221,70,151,82,0,9996.377122502869,500,8517,8517,8517,8517,0,1760,4.692205725193023,2.357190452337265,2.3350152666568755,-10.375680545806885,0.32285548885166643,0.10094352811574936,0.39315159714221953,0.5329240167140961,8.176633944511414,8.177777656555175,8.187152795791626,9.640137899958063,"{""DC-1"": 173.72525210424723, ""DC-2"": -183.15551770847, ""DC-3"": 289.8494791466584, ""DC-4"": 185.11901224926527, ""DC-5"": 326.985310539614}"
8,49,1549.9371165143577,1000,1000,0,0,1000,157,0,843,0,1000,973,27,943,30,0.943,0.057,0.04106858196368401,1032043.0688912182,1060.681468541848,0,77,50,27,7,0,10490.892478263271,500,9517,9517,9517,9517,0,2260,4.416980464458465,2.222876974582672,2.194103488445282,-13.944272277832031,0.5027325764894486,0.10209859907627106,0.31344900715351104,0.532991307258606,11.85804058456421,11.8587884349823,11.867169916152955,9.106828100048006,"{""DC-1"": 352.16101963285894, ""DC-2"": 298.5743950845282, ""DC-3"": 306.2662862160748, ""DC-4"": 234.05051719025158, ""DC-5"": 358.8848983906449}"
9,50,1344.706528478526,1000,1000,0,0,1000,207,0,793,0,1000,943,57,889,54,0.889,0.111,0.08754154312878104,1059839.5111911152,1123.9019206692633,0,112,55,57,29,0,12295.086763918807,500,10517,10517,10517,10517,0,2760,4.23197606420517,2.1346441717147826,2.097331892967224,-17.685108238220216,0.37549177423864605,0.1031295508146286,0.3680551937818527,0.5335007755756378,15.72772795677185,15.728079748153686,15.73320339012146,8.514013899955899,"{""DC-1"": 258.35543187626047, ""DC-2"": 249.66868914496885, ""DC-3"": 320.2844456191333, ""DC-4"": 229.49220678145738, ""DC-5"": 286.9057550567095}"
