episode,episode_seed,training_stage,cloud_enabled,neighbor_feedback_collection_enabled,neighbor_feedback_decision_enabled,neighbor_feedback_episode_terminal_jobs_seen,neighbor_feedback_episode_pair_samples,neighbor_feedback_total_terminal_jobs_seen,neighbor_feedback_total_pair_samples,neighbor_feedback_active_pair_count,wall_time_seconds,simulation_end_time,training_episode_reward,total_jobs,completed_jobs,dropped_jobs,unresolved_jobs,completion_rate,drop_rate,queued_jobs,queue_admission_rate,started_from_waiting_jobs,waiting_timeout_drops,waiting_timeout_drop_rate,max_waiting_queue_length,remaining_waiting_jobs,energy_normalization_j,energy_cost_weight,energy_optimization_enabled,routing_decision_count,routing_actor_controlled_count,routing_forced_action_count,routing_orchestrator_action_count,routing_random_action_count,routing_policy_action_count,routing_self_count,routing_self_rate,routing_edge_count,routing_edge_rate,routing_cloud_count,routing_cloud_rate,routing_drop_count,routing_drop_rate,multi_hop_job_count,multi_hop_job_rate,avg_routing_edge_hops_per_job,max_routing_hops,routing_source_target_matrix_json,routing_reward_by_agent_json,host_decision_count,host_random_action_count,host_policy_action_count,host_started_count,host_started_rate,host_queued_count,host_queued_rate,host_dropped_count,host_dropped_rate,routing_episode_updates,routing_replay_size,routing_replay_trainable_size,routing_update_step,routing_global_decision_steps,routing_training_action_steps,routing_critic_loss,routing_q1_loss,routing_q2_loss,routing_actor_loss,routing_alpha_loss,routing_alpha,routing_policy_entropy,routing_target_entropy,routing_mean_q1,routing_mean_q2,routing_mean_target_q,host_episode_updates,host_replay_size_total,host_training_action_steps_total,host_update_step_total,host_critic_loss,host_q1_loss,host_q2_loss,host_actor_loss,host_alpha_loss,host_alpha_mean,host_policy_entropy,host_target_entropy,host_mean_q1,host_mean_q2,host_mean_target_q,routing_layer_reward_sum,host_layer_reward_sum,terminal_trace_flushed_count,routing_transition_flushed_count,host_transition_flushed_count,pending_trace_count_end,finalized_trace_count_end,causal_terminal_job_gap,sla_satisfied_jobs,sla_violated_completed_jobs,sla_satisfaction_rate,sla_violation_rate,mean_sla_violation_degree,total_completion_time,avg_completion_time,episode_energy_time_s,energy_time_gap_s,edge_idle_energy_j,edge_cpu_dynamic_energy_j,edge_gpu_dynamic_energy_j,edge_total_energy_j,cloud_compute_energy_j,system_compute_energy_j,system_dynamic_compute_energy_j,transfer_energy_j,edge_edge_transfer_energy_j,edge_cloud_transfer_energy_j,total_system_energy_j,total_system_energy_kwh,edge_idle_avg_power_w,edge_cpu_dynamic_avg_power_w,edge_gpu_dynamic_avg_power_w,edge_total_avg_power_w,cloud_compute_avg_power_w,system_compute_avg_power_w,transfer_equivalent_avg_power_w,system_total_equivalent_avg_power_w,edge_idle_energy_share,edge_cpu_dynamic_energy_share,edge_gpu_dynamic_energy_share,cloud_compute_energy_share,transfer_energy_share,system_energy_per_completed_job_j,system_energy_per_total_job_j,task_compute_energy_j,task_transfer_energy_j,task_attributable_energy_j,task_compute_energy_per_completed_job_j,task_attributable_energy_per_total_job_j,transfer_split_gap_j,transfer_job_accounting_gap_j,task_edge_edge_transfer_energy_j,task_edge_cloud_transfer_energy_j,workload_total_cpu_request,workload_mean_cpu_request,workload_max_cpu_request,workload_total_gpu_request,workload_mean_gpu_request,workload_max_gpu_request,workload_gpu_job_ratio,workload_total_duration_s,workload_mean_duration_s,workload_p95_duration_s,workload_max_duration_s,workload_arrival_span_s,workload_observed_arrival_rate,edge_completed_jobs,edge_total_cpu_capacity,edge_total_gpu_capacity,edge_cpu_resource_seconds,edge_gpu_resource_seconds,edge_avg_cpu_load,edge_peak_cpu_load,edge_avg_gpu_load,edge_peak_gpu_load,edge_avg_running_jobs,edge_peak_running_jobs,edge_host_avg_cpu_load_mean,edge_host_avg_cpu_load_std,edge_host_avg_cpu_load_p95,edge_host_avg_gpu_load_mean,edge_host_avg_gpu_load_std,edge_host_busy_ratio_mean,edge_host_busy_ratio_max,cloud_completed_jobs,cloud_cpu_resource_seconds,cloud_gpu_resource_seconds,cloud_avg_used_cpu,cloud_peak_used_cpu,cloud_avg_used_gpu,cloud_peak_used_gpu,cloud_avg_running_jobs,cloud_peak_running_jobs,cloud_busy_ratio
1,42,host_pretrain,True,True,False,1000,0,1000,0,0,3.3913131000008434,15329.962530012708,0.0,1000,589,411,0,0.589,0.411,576,0.576,188,0,0.0,11,0,170000.0,0.3,True,1000,0,0,1000,0,0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,"{""DC-1"": {""DC-1"": 197}, ""DC-2"": {""DC-2"": 192}, ""DC-3"": {""DC-3"": 204}, ""DC-4"": {""DC-4"": 216}, ""DC-5"": {""DC-5"": 191}}","{""DC-1"": 0.0, ""DC-2"": 0.0, ""DC-3"": 0.0, ""DC-4"": 0.0, ""DC-5"": 0.0}",1000,1000,0,401,0.401,576,0.576,23,0.023,0,0,0,0,1000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0,1000,1000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0.0,-483.1217068708934,1000,0,1000,0,0,0,536,53,0.536,0.464,0.44022701512861157,1026266.4331780291,1742.3878322207624,15329.962530012708,0.0,206954494.15517136,5742383.249999997,120821817.21434727,333518694.61951864,0.0,333518694.61951864,126564200.46434727,0.0,0.0,0.0,333518694.61951864,92.64408183875517,13499.999999999987,374.5856024603888,7881.416342525601,21756.00194498598,0.0,21756.00194498598,0.0,21756.00194498598,0.6205184221869994,0.017217575334273132,0.36226400247872753,0.0,0.0,566245.6614932405,333518.69461951865,127063178.99222441,0.0,127063178.99222441,215726.95923976979,127063.1789922244,0.0,0.0,0.0,0.0,20818.4,20.8184,184.0,843.5,0.8435,1.0,1.0,1021401.0,1021.401,3555.5499999999993,4578.0,6782.032522165604,0.14730097455814092,589,14528.0,254.0,13988496.6,676951.6999999997,0.06280932369269758,0.17263215859030837,0.17385327381006563,0.35472440944881894,51.93691755222705,107,0.06243093374339817,0.06536623418248745,0.21232541297002777,0.33995887072762976,0.202727473730859,0.4563295760121062,0.9684955179070286,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
2,43,host_pretrain,True,True,False,1000,0,2000,0,0,3.411878200015053,15727.293029840692,0.0,1000,605,395,0,0.605,0.395,579,0.579,203,0,0.0,14,0,170000.0,0.3,True,1000,0,0,1000,0,0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,"{""DC-1"": {""DC-1"": 184}, ""DC-2"": {""DC-2"": 198}, ""DC-3"": {""DC-3"": 183}, ""DC-4"": {""DC-4"": 218}, ""DC-5"": {""DC-5"": 217}}","{""DC-1"": 0.0, ""DC-2"": 0.0, ""DC-3"": 0.0, ""DC-4"": 0.0, ""DC-5"": 0.0}",1000,1000,0,402,0.402,579,0.579,19,0.019,0,0,0,0,2000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0,2000,2000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0.0,-396.3482704958851,1000,0,1000,0,0,0,547,58,0.547,0.453,0.4238054586828237,1060638.987605778,1753.1222935632695,15727.293029840692,0.0,212318455.90284917,6604487.96875,123851108.68662299,342774052.5582222,0.0,342774052.5582222,130455596.65537299,0.0,0.0,0.0,342774052.5582222,95.21501459950616,13499.999999999989,419.93799926145965,7874.915820009843,21794.85381927129,0.0,21794.85381927129,0.0,21794.85381927129,0.6194122755741135,0.019267759386857874,0.36131996503902863,0.0,0.0,566568.6819144168,342774.0525582222,130950256.18914638,0.0,130950256.18914638,216446.70444487006,130950.25618914638,0.0,0.0,0.0,0.0,19093.8,19.093799999999998,184.0,849.7,0.8497,1.0,1.0,1027034.0,1027.034,3559.1499999999987,4583.0,6520.154472751141,0.15321722885170813,605,14528.0,254.0,15625384.0,686299.2000000001,0.06838658063474998,0.16507433920704845,0.17180104352376768,0.3783464566929134,50.57208500476808,112,0.06998966654357662,0.0732976714017618,0.22378143302837977,0.34026280713701473,0.2010592982560106,0.45168510219310987,0.9800160759232782,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,44,host_pretrain,True,True,False,1000,0,3000,0,0,3.359815400035586,15727.523031691631,0.0,1000,589,411,0,0.589,0.411,588,0.588,194,0,0.0,12,0,170000.0,0.3,True,1000,0,0,1000,0,0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,"{""DC-1"": {""DC-1"": 192}, ""DC-2"": {""DC-2"": 193}, ""DC-3"": {""DC-3"": 216}, ""DC-4"": {""DC-4"": 186}, ""DC-5"": {""DC-5"": 213}}","{""DC-1"": 0.0, ""DC-2"": 0.0, ""DC-3"": 0.0, ""DC-4"": 0.0, ""DC-5"": 0.0}",1000,1000,0,395,0.395,588,0.588,17,0.017,0,0,0,0,3000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0,3000,3000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0.0,-492.7862613382281,1000,0,1000,0,0,0,541,48,0.541,0.459,0.4318955660899272,1076831.9279804232,1828.2375687273739,15727.523031691631,0.0,212321560.92783707,6194646.874999997,123571086.55903438,342087294.3618715,0.0,342087294.3618715,129765733.43403438,0.0,0.0,0.0,342087294.3618715,95.02424843385319,13500.000000000004,393.8730124583203,7856.996064163019,21750.869076621344,0.0,21750.869076621344,0.0,21750.869076621344,0.6206648549280411,0.018108380454630656,0.3612267646173281,0.0,0.0,580793.3690354355,342087.2943618715,130321161.66313848,0.0,130321161.66313848,221258.33898665276,130321.16166313848,0.0,0.0,0.0,0.0,20290.0,20.29,184.0,846.2,0.8462000000000001,1.0,1.0,1051434.0,1051.434,3540.1,4524.0,6453.958038073245,0.15478873492927758,589,14528.0,254.0,14390009.0,703664.3999999998,0.06297887587378347,0.15163821585903084,0.17614549207031702,0.38503937007874006,51.319269943118734,113,0.06564550207638674,0.06341187605361469,0.21604169800948855,0.33991547742308337,0.22297661645558758,0.44652886447284357,0.9495455813294535,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,45,host_pretrain,True,True,False,1000,0,4000,0,0,3.4771088999696076,14318.594802245952,0.0,1000,607,393,0,0.607,0.393,566,0.566,197,0,0.0,14,0,170000.0,0.3,True,1000,0,0,1000,0,0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,"{""DC-1"": {""DC-1"": 219}, ""DC-2"": {""DC-2"": 195}, ""DC-3"": {""DC-3"": 215}, ""DC-4"": {""DC-4"": 194}, ""DC-5"": {""DC-5"": 177}}","{""DC-1"": 0.0, ""DC-2"": 0.0, ""DC-3"": 0.0, ""DC-4"": 0.0, ""DC-5"": 0.0}",1000,1000,0,410,0.41,566,0.566,24,0.024,0,0,0,0,4000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0,4000,4000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0.0,-373.5420178827724,1000,0,1000,0,0,0,548,59,0.548,0.452,0.42259173850041554,1056181.4549798325,1740.0023970013715,14318.594802245952,0.0,193301029.8303202,6467860.6875,123730801.11845745,323499691.6362777,0.0,323499691.6362777,130198661.80595745,0.0,0.0,0.0,323499691.6362777,89.86102545452158,13499.999999999989,451.71057473359605,8641.267025661595,22592.97760039518,0.0,22592.97760039518,0.0,22592.97760039518,0.597530800887611,0.019993406036293994,0.3824757930760949,0.0,0.0,532948.4211470801,323499.69163627765,130612121.71986073,0.0,130612121.71986073,215176.47729795836,130612.12171986073,0.0,0.0,0.0,0.0,20743.2,20.7432,184.0,844.5,0.8445,1.0,1.0,1020562.0,1020.562,3422.2999999999997,4547.0,6649.560865356687,0.15023548475278345,607,14528.0,254.0,15695895.8,681896.1999999995,0.0754535845406165,0.1686398678414097,0.18749260983628896,0.3598425196850394,55.13229551521184,106,0.07528509578893267,0.07981555818525998,0.2681008980293134,0.37300531747446664,0.2354949442118036,0.4940363596690659,0.9965363359372267,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
5,46,host_pretrain,True,True,False,1000,0,5000,0,0,3.354375399998389,14498.484814032316,0.0,1000,584,416,0,0.584,0.416,580,0.58,192,0,0.0,15,0,170000.0,0.3,True,1000,0,0,1000,0,0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,"{""DC-1"": {""DC-1"": 216}, ""DC-2"": {""DC-2"": 190}, ""DC-3"": {""DC-3"": 198}, ""DC-4"": {""DC-4"": 208}, ""DC-5"": {""DC-5"": 188}}","{""DC-1"": 0.0, ""DC-2"": 0.0, ""DC-3"": 0.0, ""DC-4"": 0.0, ""DC-5"": 0.0}",1000,1000,0,392,0.392,580,0.58,28,0.028,0,0,0,0,5000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0,5000,5000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0.0,-496.1222647771154,1000,0,1000,0,0,0,534,50,0.534,0.466,0.4400517439243694,1016554.2075834338,1740.675012985332,14498.484814032316,0.0,195729544.9894363,6707744.062499992,119242423.87930073,321679712.93123704,0.0,321679712.93123704,125950167.94180071,0.0,0.0,0.0,321679712.93123704,89.3554758142325,13500.000000000002,462.65138381963345,8224.474861255316,22187.126245074953,0.0,22187.126245074953,0.0,22187.126245074953,0.608460953928033,0.020852244617408786,0.3706868014545582,0.0,0.0,550821.4262521182,321679.71293123707,126559386.17783816,0.0,126559386.17783816,216711.27770177767,126559.38617783817,0.0,0.0,0.0,0.0,20827.0,20.827,192.0,838.4,0.8383999999999999,1.0,1.0,1011745.0,1011.745,3379.1,4500.0,6610.268256103976,0.15112851117313056,584,14528.0,254.0,16538186.0,664221.0,0.07851622715711276,0.1978248898678414,0.1803666618014906,0.35590551181102364,53.11079122245468,106,0.07710856396993901,0.07129950175017512,0.2197258698658454,0.35503432365691395,0.21927704927433958,0.47085594903308303,0.9818267344890204,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
6,47,host_pretrain,True,True,False,1000,0,6000,0,0,3.7273722999962047,16021.41781534551,0.0,1000,609,391,0,0.609,0.391,539,0.539,168,0,0.0,14,0,170000.0,0.3,True,1000,0,0,1000,0,0,1000,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,"{""DC-1"": {""DC-1"": 182}, ""DC-2"": {""DC-2"": 184}, ""DC-3"": {""DC-3"": 207}, ""DC-4"": {""DC-4"": 207}, ""DC-5"": {""DC-5"": 220}}","{""DC-1"": 0.0, ""DC-2"": 0.0, ""DC-3"": 0.0, ""DC-4"": 0.0, ""DC-5"": 0.0}",1000,1000,0,441,0.441,539,0.539,20,0.02,0,0,0,0,6000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0,6000,6000,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,0.0,-354.49188393992875,1000,0,1000,0,0,0,569,40,0.569,0.431,0.4119026227516396,1027139.6258889553,1686.6003709178249,16021.41781534551,0.0,216289140.50716418,6549710.21875,124485370.31323974,347324221.03915393,0.0,347324221.03915393,131035080.53198974,0.0,0.0,0.0,347324221.03915393,96.47895028865388,13499.999999999987,408.8096505714124,7769.934705404545,21678.744355975945,0.0,21678.744355975945,0.0,21678.744355975945,0.6227297936782297,0.018857625878074453,0.3584125804436958,0.0,0.0,570318.9179624859,347324.2210391539,131472169.11679186,0.0,131472169.11679186,215882.05109489633,131472.16911679186,0.0,0.0,0.0,0.0,21276.2,21.2762,184.0,828.4000000000001,0.8284000000000001,1.0,1.0,1029525.0,1029.525,3633.0,4570.0,7318.280523459204,0.1365074756013579,609,14528.0,254.0,15784400.8,689705.4999999999,0.06781430614452073,0.14351596916299558,0.1694841252845393,0.3437007874015747,50.59102816878384,100,0.06813494176190207,0.06360076850225645,0.21380276558414732,0.33498592707940433,0.21260768824063891,0.4530984247751229,0.9562199910501251,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
