episode,episode_seed,episode_return,decision_count,normal_action_count,forced_action_count,random_action_count,policy_action_count,local_action_count,edge_action_count,cloud_action_count,drop_action_count,local_action_rate,edge_action_rate,cloud_action_rate,drop_action_rate,total_jobs,completed_jobs,dropped_jobs,completion_rate,drop_rate,queue_admission_rate,waiting_timeout_drop_rate,sla_satisfied_jobs,sla_violated_completed_jobs,sla_satisfaction_rate,sla_violation_rate,mean_sla_violation_degree,total_completion_time,avg_completion_time,unresolved_jobs,queued_jobs,started_from_waiting_jobs,waiting_timeout_drops,max_waiting_queue_length,remaining_waiting_jobs,simulation_end_time,episode_updates,global_decision_steps,global_normal_action_steps,replay_size,replay_trainable_size,replay_forced_size,masac_update_step,critic_loss,q1_loss,q2_loss,actor_loss,alpha_loss,alpha,policy_entropy,target_entropy,mean_q1,mean_q2,mean_target_q,wall_time_seconds,workload_total_cpu_request,workload_mean_cpu_request,workload_max_cpu_request,workload_total_gpu_request,workload_mean_gpu_request,workload_max_gpu_request,workload_gpu_job_ratio,workload_total_duration_s,workload_mean_duration_s,workload_p95_duration_s,workload_max_duration_s,workload_arrival_span_s,workload_observed_arrival_rate,edge_completed_jobs,edge_total_cpu_capacity,edge_total_gpu_capacity,edge_cpu_resource_seconds,edge_gpu_resource_seconds,edge_avg_cpu_load,edge_peak_cpu_load,edge_avg_gpu_load,edge_peak_gpu_load,edge_avg_running_jobs,edge_peak_running_jobs,edge_host_avg_cpu_load_mean,edge_host_avg_cpu_load_std,edge_host_avg_cpu_load_p95,edge_host_avg_gpu_load_mean,edge_host_avg_gpu_load_std,edge_host_busy_ratio_mean,edge_host_busy_ratio_max,per_agent_returns
1,42,-1850.194757846864,1418,1418,0,1418,0,898,418,102,0,0.6332863187588152,0.2947813822284908,0.07193229901269393,0.0,1000,440,560,0.44,0.56,0.704,0.56,386,54,0.386,0.614,0.5849462820680317,840233.9498678569,1909.6226133360385,0,704,144,560,23,0,12203.812335718776,0,1418,1418,1418,1418,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,3.892900099977851,20051.0,20.051,184.0,828.4000000000001,0.8284000000000001,1.0,1.0,988717.0,988.717,3313.6499999999996,4571.0,4062.683784481388,0.24589656812966182,338,7168.0,113.0,10205152.0,420347.20000000007,0.11666107133273271,0.22544642857142858,0.3048134978916508,0.563716814159292,41.182950554639014,75,0.11667607871865364,0.08709954084706684,0.267604901661875,0.5101185046724449,0.23469765447331783,0.6642240428566042,0.9700247491803773,"{""DC-1"": -287.5102026205547, ""DC-2"": -277.91789951463795, ""DC-3"": -380.256288347985, ""DC-4"": -405.70342287176527, ""DC-5"": -498.80694449192225}"
2,43,-1939.9827151707022,1397,1397,0,1397,0,898,397,102,0,0.642806012884753,0.28418038654259126,0.07301360057265568,0.0,1000,423,577,0.423,0.577,0.722,0.577,370,53,0.37,0.63,0.6022083321363394,847721.2385485113,2004.069121864093,0,722,145,577,20,0,11682.145026602955,0,2815,2815,2815,2815,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,3.769412000081502,20051.0,20.051,184.0,828.4000000000001,0.8284000000000001,1.0,1.0,988717.0,988.717,3313.6499999999996,4571.0,4062.683784481388,0.24589656812966182,321,7168.0,113.0,10943922.0,421227.00000000023,0.13069302162509241,0.25864955357142855,0.3190914474938385,0.5707964601769913,42.231370940569626,76,0.1315435370459694,0.1085111405897104,0.2914090524255312,0.5312532061421166,0.22961974506213437,0.6659810418799286,0.9876610822520433,"{""DC-1"": -264.9486828512412, ""DC-2"": -395.6265895864967, ""DC-3"": -372.3682158540962, ""DC-4"": -434.9042506354473, ""DC-5"": -472.1349762434227}"
3,44,-1920.279820783569,1389,1389,0,1389,0,898,389,102,0,0.646508279337653,0.28005759539236863,0.0734341252699784,0.0,1000,424,576,0.424,0.576,0.717,0.576,378,46,0.378,0.622,0.5994784644076843,816068.7622103201,1924.6904769111322,0,717,141,576,23,0,12340.390330550814,0,4204,4204,4204,4204,0,0,nan,nan,nan,nan,nan,0.10000000149011612,nan,nan,nan,nan,nan,3.7993179000914097,20051.0,20.051,184.0,828.4000000000001,0.8284000000000001,1.0,1.0,988717.0,988.717,3313.6499999999996,4571.0,4062.683784481388,0.24589656812966182,322,7168.0,113.0,10411557.0,433692.9,0.11770334024479147,0.24079241071428573,0.3110104431611943,0.6008849557522123,40.51192763022476,82,0.11670300845492396,0.09050845711943696,0.2783110026712342,0.5141214402508137,0.236671871720264,0.6450941594854817,0.9830321144678519,"{""DC-1"": -303.0323338551862, ""DC-2"": -418.47742765211325, ""DC-3"": -303.23880402001606, ""DC-4"": -350.8439180088316, ""DC-5"": -544.6873372474205}"
4,45,-993.823782044357,1294,1294,0,796,498,737,294,263,0,0.5695517774343122,0.22720247295208656,0.20324574961360123,0.0,1000,570,430,0.57,0.43,0.543,0.43,516,54,0.516,0.484,0.4551727015005182,900232.4458797676,1579.3551682101188,0,543,113,430,23,0,11647.952842930963,250,5498,5498,5498,5498,0,250,8.2150745677948,4.1061616725921635,4.108912890434265,-0.3652599917948246,-3.043332287207246,0.09910218417644501,1.8710101110935211,0.5318823962211608,-0.8173447032126715,-0.8154271681568352,-0.8482599660158158,7.611784600070678,20051.0,20.051,184.0,828.4000000000001,0.8284000000000001,1.0,1.0,988717.0,988.717,3313.6499999999996,4571.0,4062.683784481388,0.24589656812966182,307,7168.0,113.0,8913780.0,381642.2,0.1067614124207353,0.28920200892857145,0.28995349202667864,0.5849557522123894,38.00023969607888,77,0.10340949818184908,0.08534918172547434,0.2806241507909042,0.45675983340101284,0.21667100577176948,0.5897590901017824,0.9868686931520513,"{""DC-1"": -67.05889198733989, ""DC-2"": -148.2852959379473, ""DC-3"": -133.47425873158286, ""DC-4"": -277.04465397617236, ""DC-5"": -367.9606814113165}"
